#@RPOL@[ANGLE=] 2
# Note: first line starting with "#@RPOL@" is required for automatic 
# 1-D/2-D interpolation and table format switching (default is 1-D).
# The string in brackets identifies how the row with angle values, y,
# (in degrees) has to start, wavelengths being the leading x column.
#
# Angle-dependent reflectivity for ASTRI mirrors.
# Contributed by Giorgia Sironi, 2018-01-17.
#
# Wavelenght[]  0deg    10deg   20deg   30deg   40deg   50deg   60deg   70deg   80deg
#
ANGLE=     0              10              20              30              40              50              60              70              80
#
# x[i]  z[0][i]         z[1][i]         .... 
#
402     0.9650305       0.9649078       0.9643888       0.9630221       0.9600376       0.9542765       0.9441637       0.9288079       0.9200301
403     0.9649171       0.964789        0.9642541       0.9628615       0.959842        0.9540433       0.9439248       0.928758        0.920836
404     0.9648014       0.9646679       0.964117        0.9626985       0.9596441       0.9538079       0.9436853       0.9287108       0.9216297
405     0.9646834       0.9645445       0.9639778       0.9625333       0.959444        0.9535706       0.9434451       0.9286663       0.9224113
406     0.9645632       0.9644189       0.9638363       0.9623657       0.9592415       0.9533311       0.9432043       0.9286244       0.9231806
407     0.9644415       0.9642918       0.9636932       0.9621966       0.9590374       0.9530905       0.9429639       0.9285864       0.9239395
408     0.9643183       0.9641632       0.9635487       0.962026        0.9588319       0.9528488       0.942724        0.9285523       0.9246882
409     0.9641928       0.9640324       0.9634019       0.9618531       0.9586241       0.952605        0.9424834       0.9285205       0.9254243
410     0.9640651       0.9638993       0.9632529       0.961678        0.958414        0.9523592       0.9422422       0.928491        0.9261479
411     0.9639389       0.9637678       0.9631054       0.9615046       0.958206        0.9521162       0.9420053       0.928466        0.9268525
412     0.9638105       0.963634        0.9629558       0.9613291       0.9579958       0.9518713       0.9417679       0.928443        0.9275447
413     0.96368         0.9634982       0.9628041       0.9611513       0.9577834       0.9516245       0.9415298       0.9284218       0.9282247
414     0.9635544       0.9633672       0.9626573       0.9609787       0.9575767       0.9513846       0.9413019       0.9284161       0.9289082
415     0.9634294       0.9632369       0.9625112       0.9608068       0.9573708       0.9511464       0.9410777       0.9284173       0.9295852
416     0.9633023       0.9631045       0.9623629       0.9606327       0.9571628       0.9509061       0.9408529       0.92842         0.9302496
417     0.9631731       0.9629699       0.9622125       0.9604564       0.9569525       0.950664        0.9406276       0.9284242       0.9309015
418     0.9630417       0.9628332       0.9620599       0.9602779       0.95674         0.95042         0.9404017       0.9284297       0.931541
419     0.9629082       0.9626943       0.9619052       0.9600972       0.9565253       0.9501741       0.9401753       0.9284365       0.9321682
420     0.9627726       0.9625534       0.9617483       0.9599143       0.9563084       0.9499262       0.9399484       0.9284444       0.9327832
421     0.9626371       0.9624125       0.9615917       0.9597318       0.9560921       0.9496795       0.9397233       0.9284519       0.9333764
422     0.9624987       0.9622688       0.9614321       0.9595463       0.9558728       0.9494298       0.9394963       0.9284589       0.9339565
423     0.9623583       0.9621231       0.9612704       0.9593586       0.9556512       0.9491784       0.9392688       0.9284667       0.9345251
424     0.9622158       0.9619753       0.9611067       0.9591688       0.9554276       0.948925        0.9390409       0.9284754       0.9350826
425     0.9620713       0.9618254       0.9609409       0.9589769       0.9552018       0.9486699       0.9388124       0.9284848       0.9356289
426     0.9619243       0.9616731       0.9607726       0.9587826       0.9549737       0.948413        0.9385835       0.9284942       0.9361616
